title,actor,writer,genre,country,director,rating,score,year,release,runtime
Near Dark,Adrian Pasdar,Kathryn Bigelow,Action,USA,Kathryn Bigelow,R,7,1987,02-21-1987,94
A Place in the World,Jose Sacristan,Adolfo Aristarain,Drama,Argentina,Adolfo Aristarain,PG,7.9,1992,6-16-1905,120
The Fantasticks,Joel Grey,Tom Jones,Musical,USA,Michael Ritchie,PG,5.8,1995,6-17-1905,86
Another Day in Paradise,James Woods,Eddie Little,Crime,USA,Larry Clark,R,6.5,1998,6-21-1905,101
Romance & Cigarettes,James Gandolfini,John Turturro,Comedy,USA,John Turturro,R,6.3,2005,6-28-1905,105
Passion Play,Mickey Rourke,Mitch Glazer,Drama,USA,Mitch Glazer,R,5,2010,07-03-2005,94
Black Moon Rising,Tommy Lee Jones,John Carpenter,Action,USA,Harley Cokeliss,R,5.4,1986,01-10-1986,100
