title,actor,writer,genre,country,director,rating,score,year,release,runtime
Black Moon Rising,Tommy Lee Jones,John Carpenter,Action,USA,Harley Cokeliss,R,5.4,1986,10-1-1986,100
Peggy Sue Got Married,Kathleen Turner,Jerry Leichtling,Comedy,USA,Francis Ford Coppola,PG-13,6.3,1986,10-10-1986,103
Deadly Friend,Matthew Labyorteaux,Diana Henstell,Drama,USA,Wes Craven,R,5.5,1986,10-10-1986,91
Jumpin' Jack Flash,Whoopi Goldberg,David Franzoni,Comedy,USA,Penny Marshall,R,5.8,1986,10-10-1986,105
Clockwise,John Cleese,Michael Frayn,Comedy,UK,Christopher Morahan,PG,6.6,1986,10-10-1986,96
True Stories,David Byrne,Stephen Tobolowsky,Musical,USA,David Byrne,PG,7,1986,10-10-1986,90
That's Life!,Jack Lemmon,Milton Wexler,Comedy,USA,Blake Edwards,PG-13,6.1,1986,10-10-1986,102
Critters,Dee Wallace,Domonic Muir,Action,USA,Stephen Herek,PG-13,6,1986,11-4-1986,82
Band of the Hand,Stephen Lang,Leo Garen,Action,USA,Paul Michael Glaser,R,6.3,1986,11-4-1986,109
Off Beat,Judge Reinhold,Dezsö Magyar,Comedy,USA,Michael Dinner,PG,5,1986,11-4-1986,92
Ferris Bueller's Day Off,Matthew Broderick,John Hughes,Comedy,USA,John Hughes,PG-13,7.8,1986,11-6-1986,103
Club Paradise,Robin Williams,Harry Shearer,Comedy,USA,Harold Ramis,PG-13,4.9,1986,11-7-1986,96
Avenging Force,Michael Dudikoff,James Booth,Action,USA,Sam Firstenberg,R,5.9,1986,12-9-1986,104
Hardbodies 2,James Karen,Mark Griffiths,Comedy,USA,Mark Griffiths,R,2.9,1986,12-9-1986,88
Otello,Plácido Domingo,Arrigo Boito,Drama,Netherlands,Franco Zeffirelli,PG,7.2,1986,12-9-1986,100
The Golden Child,Eddie Murphy,Dennis Feldman,Action,USA,Michael Ritchie,PG-13,5.9,1986,12-12-1986,94
¡Three Amigos!,Steve Martin,Steve Martin,Comedy,USA,John Landis,PG,6.4,1986,12-12-1986,104
Native Son,Victor Love,Richard Wesley,Drama,USA,Jerrold Freedman,PG,5.9,1986,12-12-1986,111
Creepshow 2,George Kennedy,Stephen King,Comedy,USA,Michael Gornick,R,6,1987,1-5-1987,92
American Ninja 2: The Confrontation,Michael Dudikoff,Gary Conway,Action,USA,Sam Firstenberg,R,4.8,1987,1-5-1987,90
Malone,Burt Reynolds,Christopher Frank,Action,USA,Harley Cokeliss,R,5.6,1987,1-5-1987,92
The Allnighter,Susanna Hoffs,Tamar Simon Hoffs,Comedy,USA,Tamar Simon Hoffs,PG-13,4,1987,1-5-1987,108
Innerspace,Dennis Quaid,Chip Proser,Action,USA,Joe Dante,PG,6.8,1987,1-7-1987,120
Wisdom,Emilio Estevez,Emilio Estevez,Crime,USA,Emilio Estevez,R,5.7,1987,2-1-1987,109
Like Father Like Son,Dudley Moore,Lorne Cameron,Comedy,USA,Rod Daniel,PG-13,5.1,1987,2-10-1987,96
Slam Dance,Tom Hulce,Don Keith Opper,Mystery,UK,Wayne Wang,R,5.3,1987,2-10-1987,92
Creepozoids,Linnea Quigley,Dave Eisenstark,Horror,USA,David DeCoteau,R,3.5,1987,2-10-1987,72
Big Shots,Ricky Busker,Joe Eszterhas,Adventure,USA,Robert Mandel,PG-13,5.6,1987,2-10-1987,94
Zombie High,Virginia Madsen,Tim Doyle,Comedy,USA,Ron Link,R,4.2,1987,2-10-1987,93
Police Academy 4: Citizens on Patrol,Steve Guttenberg,Neal Israel,Comedy,USA,Jim Drake,PG,4.8,1987,3-4-1987,88
Making Mr. Right,John Malkovich,Floyd Byars,Comedy,USA,Susan Seidelman,PG-13,5.3,1987,3-4-1987,98
The Untouchables,Kevin Costner,Oscar Fraley,Crime,USA,Brian De Palma,R,7.9,1987,3-6-1987,119
Adventures in Babysitting,Elisabeth Shue,David Simkins,Action,USA,Chris Columbus,PG-13,6.9,1987,3-7-1987,102
Man on Fire,Scott Glenn,A.J. Quinnell,Action,France,Élie Chouraqui,R,5.9,1987,4-9-1987,87
From a Whisper to a Scream,Vincent Price,C. Courtney Joyner,Action,USA,Jeff Burr,R,6,1987,4-9-1987,99
Penitentiary III,Leon Isaac Kennedy,Jamaa Fanaka,Comedy,USA,Jamaa Fanaka,R,3.7,1987,4-9-1987,90
Manon of the Spring,Yves Montand,Claude Berri,Drama,Switzerland,Claude Berri,PG,8,1986,4-12-1987,113
Walker,Ed Harris,Rudy Wurlitzer,Biography,USA,Alex Cox,R,6.6,1987,4-12-1987,94
A Month in the Country,Colin Firth,J.L. Carr,Drama,UK,Pat O'Connor,PG,7.2,1987,4-12-1987,96
