title,actor,writer,genre,country,director,rating,score,year,release,runtime
The Girl Next Door,Emile Hirsch,David Wagner,Comedy,USA,Luke Greenfield,R,6.8,2004,9-4-2004,108
Ella Enchanted,Anne Hathaway,Laurie Craig,Comedy,USA,Tommy O'Haver,PG,6.3,2004,9-4-2004,96
The Alamo,Dennis Quaid,Leslie Bohem,Drama,USA,John Lee Hancock,PG-13,6,2004,9-4-2004,137
The Whole Ten Yards,Bruce Willis,Mitchell Kapner,Comedy,USA,Howard Deutch,PG-13,5.5,2004,9-4-2004,98
Shade,Joe Nicolo,Damian Nieman,Crime,USA,Damian Nieman,R,6.4,2003,9-5-2004,101
Anchorman: The Legend of Ron Burgundy,Will Ferrell,Will Ferrell,Comedy,USA,Adam McKay,PG-13,7.2,2004,9-7-2004,94
Sleepover,Alexa PenaVega,Elisa Bell,Comedy,USA,Joe Nussbaum,PG,5.3,2004,9-7-2004,89
Resident Evil: Apocalypse,Milla Jovovich,Paul W.S. Anderson,Action,Germany,Alexander Witt,R,6.2,2004,10-9-2004,94
Cellular,Kim Basinger,Larry Cohen,Action,USA,David R. Ellis,PG-13,6.5,2004,10-9-2004,94
The Polar Express,Tom Hanks,Chris Van Allsburg,Animation,USA,Robert Zemeckis,G,6.6,2004,10-11-2004,100
Ocean's Twelve,George Clooney,George Nolfi,Crime,USA,Steven Soderbergh,PG-13,6.5,2004,10-12-2004,125
Coffee and Cigarettes,Bill Murray,Jim Jarmusch,Comedy,USA,Jim Jarmusch,R,7.1,2003,11-6-2004,95
The Chronicles of Riddick,Vin Diesel,Jim Wheat,Action,USA,David Twohy,PG-13,6.7,2004,11-6-2004,119
The Stepford Wives,Nicole Kidman,Ira Levin,Comedy,USA,Frank Oz,PG-13,5.2,2004,11-6-2004,93
Garfield,Breckin Meyer,Jim Davis,Animation,USA,Peter Hewitt,PG,5,2004,11-6-2004,80
Saved!,Jena Malone,Brian Dannelly,Comedy,USA,Brian Dannelly,PG-13,6.8,2004,11-6-2004,92
The Princess Diaries 2: Royal Engagement,Anne Hathaway,Meg Cabot,Comedy,USA,Garry Marshall,G,5.7,2004,11-8-2004,113
The Last Temptation of Christ,Willem Dafoe,Nikos Kazantzakis,Drama,Canada,Martin Scorsese,R,7.6,1988,12-3-2004,164
Pumpkin,Christina Ricci,Adam Larson Broder,Comedy,USA,Anthony Abrams,R,6.3,2002,12-3-2004,113
Secret Window,Johnny Depp,Stephen King,Mystery,USA,David Koepp,PG-13,6.6,2004,12-3-2004,96
Agent Cody Banks 2: Destination London,Frankie Muniz,Jeffrey Jurgensen,Action,USA,Kevin Allen,PG,4.5,2004,12-3-2004,100
Spartan,Val Kilmer,David Mamet,Action,Germany,David Mamet,R,6.6,2004,12-3-2004,102
Chucky 5: El Hijo de Chucky,Jennifer Tilly,Don Mancini,Comedy,Romania,Don Mancini,R,4.9,2004,12-11-2004,87
After the Sunset,Pierce Brosnan,Paul Zbyszewski,Action,USA,Brett Ratner,PG-13,6.3,2004,12-11-2004,97
Veer-Zaara,Shah Rukh Khan,Aditya Chopra,Drama,India,Yash Chopra,NOT RATED,7.9,2004,12-11-2004,192
Sin City,Mickey Rourke,Frank Miller,Crime,USA,Frank Miller,R,8,2005,1-4-2005,124
The Upside of Anger,Joan Allen,Mike Binder,Comedy,USA,Mike Binder,R,6.9,2005,1-4-2005,100
The Sisterhood of the Traveling Pants,Amber Tamblyn,Ann Brashares,Comedy,USA,Ken Kwapis,PG,6.5,2005,1-6-2005,119
My Summer of Love,Natalie Press,Helen Cross,Drama,UK,Pawel Pawlikowski,R,6.8,2004,1-7-2005,86
Rebound,Martin Lawrence,William Wolff,Comedy,USA,Steve Carr,PG,5.1,2005,1-7-2005,86
Transporter 2,Jason Statham,Luc Besson,Action,France,Louis Leterrier,PG-13,6.3,2005,2-9-2005,87
A Sound of Thunder,Edward Burns,Ray Bradbury,Action,Czech Republic,Peter Hyams,PG-13,4.2,2005,2-9-2005,102
Æon Flux,Charlize Theron,Phil Hay,Action,USA,Karyn Kusama,PG-13,5.5,2005,2-12-2005,93
Riding the Bullet,Jonathan Jackson,Mick Garris,Horror,USA,Mick Garris,R,5.2,2004,3-2-2005,100
Layer Cake,Daniel Craig,J.J. Connolly,Crime,UK,Matthew Vaughn,R,7.4,2004,3-6-2005,105
Cinderella Man,Russell Crowe,Cliff Hollingsworth,Biography,USA,Ron Howard,PG-13,8,2005,3-6-2005,144
Lords of Dogtown,Heath Ledger,Stacy Peralta,Biography,USA,Catherine Hardwicke,PG-13,7.1,2005,3-6-2005,107
Hotel Rwanda,Don Cheadle,Keir Pearson,Biography,UK,Terry George,PG-13,8.1,2004,4-2-2005,121
Vera Drake,Imelda Staunton,Mike Leigh,Crime,UK,Mike Leigh,R,7.7,2004,4-2-2005,125
The Wedding Date,Dermot Mulroney,Elizabeth Young,Comedy,USA,Clare Kilner,PG-13,6.1,2005,4-2-2005,90
Boogeyman,Barry Watson,Eric Kripke,Drama,USA,Stephen Kay,PG-13,4.1,2005,4-2-2005,89
Black,Amitabh Bachchan,Sanjay Leela Bhansali,Drama,India,Sanjay Leela Bhansali,NOT RATED,8.2,2005,4-2-2005,122
The Sea Inside,Javier Bardem,Alejandro Amenábar,Biography,Spain,Alejandro Amenábar,PG-13,8,2004,4-3-2005,125
Be Cool,John Travolta,Elmore Leonard,Comedy,USA,F. Gary Gray,PG-13,5.7,2005,4-3-2005,118
The Pacifier,Vin Diesel,Thomas Lennon,Action,Canada,Adam Shankman,PG,5.6,2005,4-3-2005,95
Regresiones de un hombre muerto,Adrien Brody,Tom Bleecker,Drama,Germany,John Maybury,R,7.1,2005,4-3-2005,103
Jarhead,Jake Gyllenhaal,William Broyles Jr.,Action,USA,Sam Mendes,R,7,2005,4-11-2005,125
Chicken Little,Zach Braff,Mark Dindal,Animation,USA,Mark Dindal,G,5.8,2005,4-11-2005,81
"Good Night, and Good Luck.",David Strathairn,George Clooney,Biography,USA,George Clooney,PG,7.5,2005,4-11-2005,93
Shopgirl,Steve Martin,Steve Martin,Drama,USA,Anand Tucker,R,6.4,2005,4-11-2005,106
The Dukes of Hazzard,Seann William Scott,John O'Brien,Action,USA,Jay Chandrasekhar,PG-13,5.1,2005,5-8-2005,104
Me and You and Everyone We Know,John Hawkes,Miranda July,Comedy,USA,Miranda July,R,7.3,2005,5-8-2005,91
Crash,Don Cheadle,Paul Haggis,Crime,USA,Paul Haggis,R,7.8,2004,6-5-2005,112
Kingdom of Heaven,Orlando Bloom,William Monahan,Action,USA,Ridley Scott,R,7.2,2005,6-5-2005,144
La casa de cera,Chad Michael Murray,Charles Belden,Horror,Australia,Jaume Collet-Serra,R,5.3,2005,6-5-2005,108
Kinsey,Liam Neeson,Bill Condon,Biography,USA,Bill Condon,R,7.1,2004,7-1-2005,118
White Noise,Michael Keaton,Niall Johnson,Drama,UK,Geoffrey Sax,PG-13,5.5,2005,7-1-2005,101
Waiting...,Ryan Reynolds,Rob McKittrick,Comedy,USA,Rob McKittrick,R,6.8,2005,7-10-2005,94
Proof,Gwyneth Paltrow,David Auburn,Drama,USA,John Madden,PG-13,6.8,2005,7-10-2005,100
In Her Shoes,Toni Collette,Jennifer Weiner,Comedy,USA,Curtis Hanson,PG-13,6.5,2005,7-10-2005,130
The Curse of the Were-Rabbit,Peter Sallis,Steve Box,Animation,UK,Steve Box,G,7.5,2005,7-10-2005,85
Where the Truth Lies,Kevin Bacon,Atom Egoyan,Crime,Canada,Atom Egoyan,UNRATED,6.5,2005,7-10-2005,107
Two for the Money,Matthew McConaughey,Dan Gilroy,Drama,USA,D.J. Caruso,R,6.2,2005,7-10-2005,122
Thumbsucker,Lou Taylor Pucci,Walter Kirn,Comedy,USA,Mike Mills,R,6.6,2005,7-10-2005,96
Downfall,Bruno Ganz,Bernd Eichinger,Biography,Germany,Oliver Hirschbiegel,R,8.3,2004,8-4-2005,156
Melinda and Melinda,Will Ferrell,Woody Allen,Comedy,USA,Woody Allen,PG-13,6.5,2004,8-4-2005,99
Sahara,Matthew McConaughey,Clive Cussler,Action,UK,Breck Eisner,PG-13,6,2005,8-4-2005,124
Fever Pitch,Drew Barrymore,Lowell Ganz,Comedy,USA,Bobby Farrelly,PG-13,6.2,2005,8-4-2005,104
The Ballad of Jack and Rose,Daniel Day-Lewis,Rebecca Miller,Drama,USA,Rebecca Miller,R,6.7,2005,8-4-2005,100
Fantastic Four,Ioan Gruffudd,Mark Frost,Action,USA,Tim Story,PG-13,5.7,2005,8-7-2005,106
Dark Water,Jennifer Connelly,Kôji Suzuki,Drama,USA,Walter Salles,PG-13,5.6,2005,8-7-2005,105
Calvaire,Laurent Lucas,Romain Protat,Horror,Belgium,Fabrice du Welz,NOT RATED,6.2,2004,9-3-2005,88
The Exorcism of Emily Rose,Laura Linney,Paul Harris Boardman,Drama,USA,Scott Derrickson,PG-13,6.7,2005,9-9-2005,119
Asylum,Natasha Richardson,Patrick McGrath,Drama,UK,David Mackenzie,R,6.1,2005,9-9-2005,99
The Man,Samuel L. Jackson,Jim Piddock,Action,Germany,Les Mayfield,PG-13,5.5,2005,9-9-2005,83
Pulse,Haruhiko Katô,Kiyoshi Kurosawa,Horror,Japan,Kiyoshi Kurosawa,R,6.6,2001,9-11-2005,118
Get Rich or Die Tryin',50 Cent,Terence Winter,Biography,USA,Jim Sheridan,R,5.1,2005,9-11-2005,117
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Tilda Swinton,Ann Peacock,Adventure,USA,Andrew Adamson,PG,6.9,2005,9-12-2005,143
Syriana,George Clooney,Stephen Gaghan,Drama,USA,Stephen Gaghan,R,7,2005,9-12-2005,128
P.S.,Laura Linney,Helen Schulman,Comedy,USA,Dylan Kidd,R,6.3,2004,10-2-2005,97
High Tension,Cécile De France,Alexandre Aja,Crime,France,Alexandre Aja,R,6.8,2003,10-6-2005,91
Mr. & Mrs. Smith,Brad Pitt,Simon Kinberg,Action,USA,Doug Liman,PG-13,6.5,2005,10-6-2005,120
The Adventures of Sharkboy and Lavagirl 3-D,Cayden Boyd,Robert Rodriguez,Action,USA,Robert Rodriguez,PG,3.5,2005,10-6-2005,93
Ong-Bak: The Thai Warrior,Tony Jaa,Panna Rittikrai,Action,Thailand,Prachya Pinkaew,R,7.2,2003,11-2-2005,105
Bad Education,Gael García Bernal,Pedro Almodóvar,Crime,Spain,Pedro Almodóvar,NC-17,7.5,2004,11-2-2005,106
Hitch,Will Smith,Kevin Bisch,Comedy,USA,Andy Tennant,PG-13,6.6,2005,11-2-2005,118
9 Songs,Kieran O'Brien,Revolution Films,Drama,UK,Michael Winterbottom,NOT RATED,4.9,2004,11-3-2005,71
Bride & Prejudice,Martin Henderson,Jane Austen,Comedy,UK,Gurinder Chadha,PG-13,6.2,2004,11-3-2005,111
The Chorus,Gérard Jugnot,Georges Chaperot,Drama,France,Christophe Barratier,PG-13,7.9,2004,11-3-2005,97
Hostage,Bruce Willis,Robert Crais,Action,USA,Florent-Emilio Siri,R,6.6,2005,11-3-2005,113
Robots,Ewan McGregor,Ron Mita,Animation,USA,Chris Wedge,PG,6.3,2005,11-3-2005,91
Zathura: A Space Adventure,Josh Hutcherson,Chris Van Allsburg,Action,USA,Jon Favreau,PG,6.1,2005,11-11-2005,101
Derailed,Clive Owen,Stuart Beattie,Crime,USA,Mikael Håfström,R,6.6,2005,11-11-2005,108
Four Brothers,Mark Wahlberg,David Elliot,Action,USA,John Singleton,R,6.9,2005,12-8-2005,109
The Skeleton Key,Kate Hudson,Ehren Kruger,Horror,USA,Iain Softley,PG-13,6.5,2005,12-8-2005,104
Deuce Bigalow: European Gigolo,Rob Schneider,Harris Goldberg,Comedy,USA,Mike Bigelow,R,4.6,2005,12-8-2005,83
The Great Raid,Benjamin Bratt,William B. Breuer,Action,USA,John Dahl,R,6.7,2005,12-8-2005,132
The Illusionist,Edward Norton,Neil Burger,Drama,USA,Neil Burger,PG-13,7.6,2006,1-9-2006,110
Crank,Jason Statham,Mark Neveldine,Action,USA,Mark Neveldine,R,7,2006,1-9-2006,88
The Wicker Man,Nicolas Cage,Neil LaBute,Horror,USA,Neil LaBute,PG-13,3.7,2006,1-9-2006,102
Turistas,Josh Duhamel,Michael Arlen Ross,Horror,USA,John Stockwell,R,5.3,2006,1-12-2006,93
Van Wilder 2: The Rise of Taj,Kal Penn,David Drew Gallagher,Comedy,USA,Mort Nathan,R,4.8,2006,1-12-2006,97
District B13,Cyril Raffaelli,Luc Besson,Action,France,Pierre Morel,R,7.2,2004,2-6-2006,84
The Break-Up,Jennifer Aniston,Jeremy Garelick,Comedy,USA,Peyton Reed,PG-13,5.8,2006,2-6-2006,106
Capote,Philip Seymour Hoffman,Dan Futterman,Biography,USA,Bennett Miller,R,7.4,2005,3-2-2006,114
Tamara,Jenna Dewan Tatum,Jeffrey Reddick,Horror,USA,Jeremy Haft,R,5.2,2005,3-2-2006,98
When a Stranger Calls,Camilla Belle,Jake Wade Wall,Horror,USA,Simon West,PG-13,5.1,2006,3-2-2006,87
Something New,Sanaa Lathan,Kriss Turner,Comedy,USA,Sanaa Hamri,PG-13,6.8,2006,3-2-2006,99
Night Watch,Konstantin Khabenskiy,Timur Bekmambetov,Action,Russia,Timur Bekmambetov,R,6.5,2004,3-3-2006,114
Transamerica,Felicity Huffman,Duncan Tucker,Adventure,USA,Duncan Tucker,R,7.4,2005,3-3-2006,103
Mirrormask,Stephanie Leonidas,Neil Gaiman,Adventure,UK,Dave McKean,PG,6.9,2005,3-3-2006,101
Ultraviolet,Milla Jovovich,Kurt Wimmer,Action,USA,Kurt Wimmer,PG-13,4.4,2006,3-3-2006,88
Aquamarine,Emma Roberts,John Quaintance,Comedy,USA,Elizabeth Allen Rosenbaum,PG,5.3,2006,3-3-2006,100
16 Blocks,Bruce Willis,Richard Wenk,Action,USA,Richard Donner,PG-13,6.6,2006,3-3-2006,102
The Zodiac,Justin Chambers,Alexander Bulkley,Crime,USA,Alexander Bulkley,R,5.4,2005,3-8-2006,97
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Sacha Baron Cohen,Sacha Baron Cohen,Comedy,USA,Larry Charles,R,7.3,2006,3-11-2006,84
Flushed Away,Hugh Jackman,Dick Clement,Animation,UK,David Bowers,PG,6.6,2006,3-11-2006,85
The Santa Clause 3: The Escape Clause,Tim Allen,Ed Decter,Adventure,USA,Michael Lembeck,G,4.7,2006,3-11-2006,97
The Descent,Shauna Macdonald,Neil Marshall,Adventure,UK,Neil Marshall,R,7.2,2005,4-8-2006,99
Talladega Nights: The Ballad of Ricky Bobby,Will Ferrell,Will Ferrell,Action,USA,Adam McKay,PG-13,6.6,2006,4-8-2006,108
La Granja,Kevin James,Steve Oedekerk,Animation,Germany,Steve Oedekerk,PG,5.6,2006,4-8-2006,100
Little Manhattan,Josh Hutcherson,Jennifer Flackett,Comedy,USA,Mark Levin,PG,7.6,2005,5-1-2006,84
The Notorious Bettie Page,Gretchen Mol,Mary Harron,Biography,USA,Mary Harron,R,6.6,2005,5-5-2006,100
An American Haunting,Donald Sutherland,Brent Monahan,Horror,UK,Courtney Solomon,PG-13,5,2005,5-5-2006,83
Dirty Love,Jenny McCarthy,Jenny McCarthy,Comedy,USA,John Asher,R,3.5,2005,5-5-2006,91
Mission: Impossible III,Tom Cruise,Alex Kurtzman,Action,USA,J.J. Abrams,PG-13,6.9,2006,5-5-2006,126
The Chumscrubber,Jamie Bell,Arie Posin,Comedy,USA,Arie Posin,R,7,2005,5-10-2006,108
Hostel,Jay Hernandez,Eli Roth,Horror,USA,Eli Roth,R,5.9,2005,6-1-2006,94
Munich,Eric Bana,Tony Kushner,Crime,France,Steven Spielberg,R,7.6,2005,6-1-2006,164
Casanova,Heath Ledger,Jeffrey Hatcher,Adventure,USA,Lasse Hallström,R,6.5,2005,6-1-2006,112
BloodRayne,Kristanna Loken,Guinevere Turner,Action,Germany,Uwe Boll,R,2.9,2005,6-1-2006,95
Breakfast on Pluto,Cillian Murphy,Neil Jordan,Comedy,Ireland,Neil Jordan,R,7.3,2005,6-1-2006,128
Grandma's Boy,Allen Covert,Barry Wernick,Comedy,USA,Nicholaus Goossen,R,7,2006,6-1-2006,94
The Omen,Liev Schreiber,David Seltzer,Horror,USA,John Moore,R,5.5,2006,6-6-2006,110
Keeping Mum,Rowan Atkinson,Richard Russo,Comedy,UK,Niall Johnson,R,6.8,2005,6-10-2006,99
The Departed,Leonardo DiCaprio,William Monahan,Crime,USA,Martin Scorsese,R,8.5,2006,6-10-2006,151
The Texas Chainsaw Massacre: The Beginning,Jordana Brewster,Sheldon Turner,Horror,USA,Jonathan Liebesman,R,5.9,2006,6-10-2006,91
Employee of the Month,Jessica Simpson,Don Calame,Comedy,USA,Greg Coolidge,PG-13,5.5,2006,6-10-2006,103
3-Iron,Seung-yeon Lee,Ki-duk Kim,Crime,South Korea,Ki-duk Kim,R,8.1,2004,7-4-2006,88
Lucky Number Slevin,Josh Hartnett,Jason Smilovic,Crime,Germany,Paul McGuigan,R,7.8,2006,7-4-2006,110
The Benchwarmers,David Spade,Allen Covert,Action,USA,Dennis Dugan,PG-13,5.6,2006,7-4-2006,80
Take the Lead,Antonio Banderas,Dianne Houston,Drama,USA,Liz Friedlander,PG-13,6.7,2006,7-4-2006,118
Pirates of the Caribbean: Dead Man's Chest,Johnny Depp,Ted Elliott,Action,USA,Gore Verbinski,PG-13,7.3,2006,7-7-2006,151
13 Tzameti,George Babluani,Géla Babluani,Crime,France,Géla Babluani,NOT RATED,7.4,2005,8-2-2006,93
The Protector,Tony Jaa,Napalee,Action,Thailand,Prachya Pinkaew,R,7.1,2005,8-9-2006,83
The Covenant,Steven Strait,J.S. Cardone,Action,USA,Renny Harlin,PG-13,5.3,2006,8-9-2006,97
Hollywoodland,Adrien Brody,Paul Bernbaum,Biography,USA,Allen Coulter,R,6.5,2006,8-9-2006,126
Apocalypto,Gerardo Taracena,Mel Gibson,Action,USA,Mel Gibson,R,7.8,2006,8-12-2006,139
The Holiday,Kate Winslet,Nancy Meyers,Comedy,USA,Nancy Meyers,PG-13,6.9,2006,8-12-2006,138
Diamante de sangre,Leonardo DiCaprio,Charles Leavitt,Adventure,Germany,Edward Zwick,R,8,2006,8-12-2006,143
Unaccompanied Minors,Dyllan Christopher,Jacob Meszaros,Adventure,USA,Paul Feig,PG,5.1,2006,8-12-2006,90
Beowulf & Grendel,Hringur Ingvarsson,Anonymous,Action,Canada,Sturla Gunnarsson,R,5.9,2005,9-3-2006,103
The Proposition,Ray Winstone,Nick Cave,Crime,Australia,John Hillcoat,R,7.4,2005,9-6-2006,104
The White Countess,Ralph Fiennes,Kazuo Ishiguro,Drama,UK,James Ivory,PG-13,6.7,2005,9-6-2006,135
Cars,Owen Wilson,John Lasseter,Animation,USA,John Lasseter,G,7.1,2006,9-6-2006,117
World Trade Center,Nicolas Cage,Andrea Berloff,Drama,USA,Oliver Stone,PG-13,6,2006,9-8-2006,129
London,Jessica Biel,Hunter Richards,Drama,UK,Hunter Richards,R,6.6,2005,10-2-2006,92
Destino final 3,Mary Elizabeth Winstead,Glen Morgan,Horror,Germany,James Wong,R,5.8,2006,10-2-2006,93
The Pink Panther,Steve Martin,Len Blum,Adventure,USA,Shawn Levy,PG,5.6,2006,10-2-2006,93
Firewall,Harrison Ford,Joe Forte,Crime,USA,Richard Loncraine,PG-13,5.8,2006,10-2-2006,105
Curious George,Will Ferrell,Ken Kaufman,Animation,USA,Matthew O'Callaghan,G,6.6,2006,10-2-2006,87
The Libertine,Johnny Depp,Stephen Jeffreys,Drama,UK,Laurence Dunmore,R,6.4,2004,10-3-2006,114
The Hills Have Eyes,Ted Levine,Wes Craven,Horror,USA,Alexandre Aja,R,6.4,2006,10-3-2006,107
Failure to Launch,Matthew McConaughey,Tom J. Astle,Comedy,USA,Tom Dey,PG-13,5.6,2006,10-3-2006,97
Harsh Times,Christian Bale,David Ayer,Action,USA,David Ayer,R,6.9,2005,10-11-2006,116
A Good Year,Russell Crowe,Marc Klein,Comedy,USA,Ridley Scott,PG-13,6.9,2006,10-11-2006,117
Babel,Brad Pitt,Guillermo Arriaga,Drama,France,Alejandro González Iñárritu,R,7.5,2006,10-11-2006,143
Stranger Than Fiction,Will Ferrell,Zach Helm,Comedy,USA,Marc Forster,PG-13,7.6,2006,10-11-2006,113
Tideland,Jeff Bridges,Tony Grisoni,Drama,UK,Terry Gilliam,R,6.5,2005,11-8-2006,120
Step Up,Channing Tatum,Duane Adler,Crime,USA,Anne Fletcher,PG-13,6.5,2006,11-8-2006,104
Zoom,Tim Allen,Adam Rifkin,Action,USA,Peter Hewitt,PG,4.3,2006,11-8-2006,100
Pulse,Kristen Bell,Wes Craven,Horror,USA,Jim Sonzero,PG-13,4.7,2006,11-8-2006,90
Marilyn Hotchkiss' Ballroom Dancing & Charm School,Robert Carlyle,Randall Miller,Comedy,USA,Randall Miller,PG-13,6.6,2005,12-1-2006,100
Goal! The Dream Begins,Kuno Becker,Mike Jefferies,Drama,USA,Danny Cannon,PG-13,6.7,2005,12-5-2006,118
Poseidon,Richard Dreyfuss,Mark Protosevich,Action,USA,Wolfgang Petersen,PG-13,5.6,2006,12-5-2006,98
Just My Luck,Lindsay Lohan,I. Marlene King,Comedy,USA,Donald Petrie,PG-13,5.4,2006,12-5-2006,100
Knocked Up,Seth Rogen,Judd Apatow,Comedy,USA,Judd Apatow,R,7,2007,1-6-2007,129
Mr. Brooks,Kevin Costner,Bruce A. Evans,Crime,USA,Bruce A. Evans,R,7.3,2007,1-6-2007,120
Letters from Iwo Jima,Ken Watanabe,Iris Yamashita,Drama,USA,Clint Eastwood,R,7.9,2006,2-2-2007,141
Because I Said So,Diane Keaton,Karen Leigh Hopkins,Comedy,USA,Michael Lehmann,PG-13,5.6,2007,2-2-2007,100
The Messengers,Dylan McDermott,Mark Wheaton,Horror,USA,Danny Pang,PG-13,5.4,2007,2-2-2007,90
Black Snake Moan,Christina Ricci,Craig Brewer,Drama,USA,Craig Brewer,R,7,2006,2-3-2007,116
Fur: An Imaginary Portrait of Diane Arbus,Nicole Kidman,Erin Cressida Wilson,Biography,USA,Steven Shainberg,R,6.5,2006,2-3-2007,122
Zodiac,Jake Gyllenhaal,James Vanderbilt,Crime,USA,David Fincher,R,7.7,2007,2-3-2007,157
Wild Hogs,Tim Allen,Brad Copeland,Action,USA,Walt Becker,PG-13,5.9,2007,2-3-2007,100
Wristcutters: A Love Story,Patrick Fugit,Goran Dukic,Comedy,USA,Goran Dukic,R,7.4,2006,2-11-2007,88
American Gangster,Denzel Washington,Steven Zaillian,Biography,USA,Ridley Scott,R,7.8,2007,2-11-2007,157
Lars and the Real Girl,Ryan Gosling,Nancy Oliver,Comedy,USA,Craig Gillespie,PG-13,7.4,2007,2-11-2007,106
Bee Movie,Jerry Seinfeld,Jerry Seinfeld,Animation,USA,Simon J. Smith,PG,6.1,2007,2-11-2007,91
Martian Child,John Cusack,Seth Bass,Comedy,USA,Menno Meyjes,PG,6.8,2007,2-11-2007,106
Un verano para toda la vida,Daniel Radcliffe,Ronald Kinnoch,Drama,Australia,Rod Hardy,PG-13,6.6,2007,2-11-2007,105
Another Gay Movie,Michael Carbonaro,Tim Kaltenecker,Comedy,USA,Todd Stephens,NOT RATED,5,2006,3-5-2007,92
Transformers,Shia LaBeouf,Roberto Orci,Action,USA,Michael Bay,PG-13,7.1,2007,3-7-2007,144
License to Wed,Mandy Moore,Kim Barker,Comedy,USA,Ken Kwapis,PG-13,5.3,2007,3-7-2007,91
The Bourne Ultimatum,Matt Damon,Tony Gilroy,Action,USA,Paul Greengrass,PG-13,8.1,2007,3-8-2007,115
Hot Rod,Andy Samberg,Pam Brady,Comedy,USA,Akiva Schaffer,PG-13,6.7,2007,3-8-2007,100
Bratz,Skyler Shaye,Susan Estelle Jansen,Comedy,USA,Sean McNamara,PG,2.9,2007,3-8-2007,100
Wind Chill,Emily Blunt,Joe Gangemi,Drama,USA,Gregory Jacobs,R,5.9,2007,3-8-2007,91
Underdog,Peter Dinklage,Adam Rifkin,Action,USA,Frederik Du Chau,PG,4.8,2007,3-8-2007,100
Talk to Me,Don Cheadle,Michael Genet,Biography,USA,Kasi Lemmons,R,7.4,2007,3-8-2007,118
Are We Done Yet?,Ice Cube,Hank Nelken,Comedy,Canada,Steve Carr,PG,4,2007,4-4-2007,92
Spider-Man 3,Tobey Maguire,Sam Raimi,Action,USA,Sam Raimi,PG-13,6.2,2007,4-5-2007,139
Lucky You,Eric Bana,Eric Roth,Drama,USA,Curtis Hanson,PG-13,5.9,2007,4-5-2007,124
Children of Men,Julianne Moore,Alfonso Cuarón,Drama,USA,Alfonso Cuarón,R,7.9,2006,5-1-2007,109
El Perfume: Historia de un asesino,Ben Whishaw,Andrew Birkin,Crime,Germany,Tom Tykwer,R,7.5,2006,5-1-2007,147
Breaking and Entering,Jude Law,Anthony Minghella,Crime,UK,Anthony Minghella,R,6.5,2006,5-1-2007,120
Escritores de la libertad,Hilary Swank,Richard LaGravenese,Biography,Germany,Richard LaGravenese,PG-13,7.5,2007,5-1-2007,123
The Reaping,Hilary Swank,Carey Hayes,Horror,USA,Stephen Hopkins,R,5.7,2007,5-4-2007,99
The Heartbreak Kid,Ben Stiller,Scot Armstrong,Comedy,USA,Bobby Farrelly,R,5.8,2007,5-10-2007,116
The Jane Austen Book Club,Kathy Baker,Robin Swicord,Comedy,USA,Robin Swicord,PG-13,6.8,2007,5-10-2007,106
The Seeker: The Dark Is Rising,Alexander Ludwig,John Hodge,Adventure,USA,David L. Cunningham,PG,4.8,2007,5-10-2007,99
The Namesake,Kal Penn,Sooni Taraporevala,Drama,USA,Mira Nair,PG-13,7.6,2006,6-4-2007,122
Grindhouse,Kurt Russell,Robert Rodriguez,Action,USA,Robert Rodriguez,R,7.6,2007,6-4-2007,191
El imperio,Laura Dern,David Lynch,Drama,France,David Lynch,R,7,2006,6-7-2007,180
Severance,Danny Dyer,James Moran,Comedy,UK,Christopher Smith,R,6.5,2006,7-9-2007,96
3:10 to Yuma,Russell Crowe,Halsted Welles,Adventure,USA,James Mangold,R,7.7,2007,7-9-2007,122
Death at a Funeral,Matthew Macfadyen,Dean Craig,Comedy,USA,Frank Oz,R,7.4,2007,7-9-2007,87
Shoot 'Em Up,Clive Owen,Michael Davis,Action,USA,Michael Davis,R,6.7,2007,7-9-2007,86
Southland Tales,Dwayne Johnson,Richard Kelly,Comedy,France,Richard Kelly,R,5.5,2006,7-12-2007,145
The Golden Compass,Nicole Kidman,Chris Weitz,Adventure,UK,Chris Weitz,PG-13,6.1,2007,7-12-2007,113
Mi historia sin mi,Christian Bale,Todd Haynes,Biography,Germany,Todd Haynes,R,7,2007,7-12-2007,135
Hostel: Part II,Lauren German,Eli Roth,Horror,USA,Eli Roth,R,5.5,2007,8-6-2007,94
Ocean's Thirteen,George Clooney,Brian Koppelman,Crime,USA,Steven Soderbergh,PG-13,6.9,2007,8-6-2007,122
Surf's Up,Shia LaBeouf,Don Rhymer,Animation,USA,Ash Brannon,PG,6.7,2007,8-6-2007,85
Easy,Marguerite Moreau,Jane Weinstock,Comedy,USA,Jane Weinstock,R,5.9,2003,9-2-2007,100
Black Friday,Kay Kay Menon,Anurag Kashyap,Crime,India,Anurag Kashyap,NOT RATED,8.6,2004,9-2-2007,143
Little Children,Kate Winslet,Todd Field,Drama,USA,Todd Field,R,7.6,2006,9-2-2007,136
Hannibal Rising,Gaspard Ulliel,Thomas Harris,Crime,UK,Peter Webber,R,6.2,2007,9-2-2007,121
Norbit,Eddie Murphy,Eddie Murphy,Comedy,USA,Brian Robbins,PG-13,4,2007,9-2-2007,100
300,Gerard Butler,Zack Snyder,Action,USA,Zack Snyder,R,7.7,2006,9-3-2007,117
